Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R9","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-20.224300,97.211155,270.000000,bottom
"R10","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-17.680550,96.293405,0.000000,bottom
"R11","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-12.730550,96.293405,180.000000,bottom
"R12","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-10.111800,97.211155,90.000000,bottom
"SW1","SW_DPDT_x2","SW_SPDT_PCM12",319.338200,84.460575,270.000000,bottom
"SW2","SW_PUSH","SW_SPST_TL3342",310.764450,77.360575,0.000000,bottom
"SW4","SW_PUSH","SW_SPST_TL3342",-10.783635,77.385405,0.000000,bottom
"SW6","SW_DPDT_x2","SW_SPDT_PCM12",-19.273635,84.485405,90.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",297.006950,115.158075,0.000000,bottom
"U4","USBLC6-2SC6","SOT-23-6",8.094450,116.042405,180.000000,bottom
